phylum	genus	abundance
Proteobacteria	Roseomonas	0.032356532
Proteobacteria	Curvibacter	0.026862027
Armatimonadetes	Armatimonas	0.008547009
Proteobacteria	Herbaspirillum	0.101343101
Planctomycetes	Zavarzinella	0.064102564
Proteobacteria	Gemmobacter	0.014652015
Cyanobacteria	Chlorophyta	0.05982906
Proteobacteria	Burkholderia	0.017704518
Proteobacteria	Methylocystis	0.013431013
Proteobacteria	Alsobacter	0.018925519
Planctomycetes	Aquisphaera	0.002442002
Proteobacteria	Acinetobacter	0.021978022
Bacteroidetes	Mucilaginibacter	0.037240537
Actinobacteria	Ilumatobacter	0.02991453
Proteobacteria	Ramlibacter	0.126984127
Cyanobacteria	GpIIa	0.006105006
Bacteroidetes	Terrimonas	0.010989011
Planctomycetes	Zavarzinella	0.048229548
Proteobacteria	Chelativorans	0.004884005
Verrucomicrobia	Cerasicoccus	0.078754579
Actinobacteria	Ilumatobacter	0.039072039
Bacteroidetes	Parasegetibacter	0.012210012
Proteobacteria	Curvibacter	0.014652015
Actinobacteria	Ilumatobacter	0.000610501
Bacteroidetes	Adhaeribacter	0.005494505
Proteobacteria	Sandarakinorhabdus	0.005494505
Actinobacteria	Terrabacter	0.014652015
Cyanobacteria	Chlorophyta	0.004273504
Proteobacteria	Pseudomonas	0.008547009
Actinobacteria	Rhodoluna	0.017094017
Actinobacteria	Streptomyces	0.005494505
Proteobacteria	Pseudomonas	0.0
Cyanobacteria	Chlorophyta	0.004884005
Actinobacteria	Streptomyces	0.013431013
Bacteroidetes	Solitalea	0.007326007
Proteobacteria	Curvibacter	0.003663004
Actinobacteria	Streptomyces	0.028083028
Proteobacteria	Burkholderia	0.000610501
Cyanobacteria	GpIIa	0.003052503
Cyanobacteria	GpIIa	0.021367521
Proteobacteria	Methylocystis	0.006105006
Proteobacteria	Achromobacter	0.001221001
Bacteroidetes	Flavobacterium	0.017704518
Proteobacteria	Achromobacter	0.003052503
Cyanobacteria	GpIIa	0.004273504
Actinobacteria	Streptomyces	0.001221001
Proteobacteria	Sphingorhabdus	0.001831502
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pedobacter	0.000610501
Actinobacteria	Ilumatobacter	0.000610501
Proteobacteria	CandidatusPelagibacter	0.001221001
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.001221001
Proteobacteria	Massilia	0.002442002
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Ilumatobacter	0.000610501
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.003052503
Bacteroidetes	Solitalea	0.001221001
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Sphingobium	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Haliscomenobacter	0.001221001
Actinobacteria	Streptomyces	0.000610501
Proteobacteria	Curvibacter	0.001221001
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Curvibacter	0.001831502
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	GpIIa	0.000610501
Proteobacteria	Curvibacter	0.000610501
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.0
Proteobacteria	Polaromonas	0.001221001
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Achromobacter	0.000610501
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.0
Bacteroidetes	Pseudarcicella	0.000610501
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.001221001
Actinobacteria	Microcella	0.0
Actinobacteria	Ilumatobacter	0.000610501
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	0.000610501
Actinobacteria	Leifsonia	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Flavobacterium	0.001221001
Proteobacteria	Polaromonas	0.001221001
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.000610501
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.000610501
Actinobacteria	Clavibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.000610501
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.000610501
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.000610501
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.000610501
Cyanobacteria	GpIIa	0.000610501
Actinobacteria	Ilumatobacter	0.000610501
